Adult Summary,Run Date: 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2019 - 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species: COHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run: NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
11/05/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,14,16,4,243,280,106,268,314,31,7,,,,,,0,0,AD,,Y,N,N,,,,,,,
11/05/2019,CO:NA:NASE:2019:M,0,0,,,,,,,,,,,,,,,,,,,,,,704000,0,0,,,N,N,N,,,,,,,
11/05/2019,CO:NA:NASE:2019:W,42,5,,,,,,,,,,,,,,,,,,,,,,,42,5,,,N,N,N,,,,,,,
11/05/2019,CO:NA:NASE:2019:W,0,0,8,10,2,,,,,,,,,,,18,6,3,0,,,,,,0,0,UM,,Y,N,N,,,,,,,
11/12/2019,CO:NA:NASE:2019:H,253,0,,,,,,,,,,,,,,,,,,,,,,,253,0,,,N,N,N,,,,,,,
11/12/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,0,3,0,,,,,,,,,,,,,250,0,AD,,Y,N,N,,,,,,,
11/12/2019,CO:NA:NASE:2019:W,9,0,,,,,,,,,,,,,,,,,,,,,,,259,0,,,N,N,N,,,,,,,
11/12/2019,CO:NA:NASE:2019:W,0,0,7,2,0,,,,,,,,,,,,,,,,,,,,250,0,UM,,Y,N,N,,,,,,,
11/15/2019,CO:NA:NASE:2019:H,475,69,,,,,,,,,,,,,,,,,,,,,,,725,69,,,N,N,N,,,,,,,
11/15/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,4,4,2,332,385,67,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
11/15/2019,CO:NA:NASE:2019:W,10,0,,,,,,,,,,,,,,,,,,,,,,,10,0,,,N,N,N,,,,,,,
11/15/2019,CO:NA:NASE:2019:W,0,0,6,4,0,,,,,,,,,,,,,,,,,,,,0,0,UM,,Y,N,N,,,,,,,
11/19/2019,CO:NA:NASE:2019:H,781,6,,,,,,,,,,,,,,,,,,,,,,,781,6,,,N,N,N,,,,,,,
11/19/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,2,4,0,418,357,6,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
11/19/2019,CO:NA:NASE:2019:W,33,0,,,,,,,,,,,,,,,,,,,,,,,33,0,,,N,N,N,,,,,,,
11/19/2019,CO:NA:NASE:2019:W,0,0,21,12,0,,,,,,,,,,,,,,,,,,,,0,0,UM,,Y,N,N,,,,,,,
11/25/2019,CO:NA:NASE:2019:H,418,8,,,,,,,,,,,,,,,,,,,,,,,418,8,,,N,N,N,,,,,,,
11/25/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,9,3,1,264,142,7,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
11/25/2019,CO:NA:NASE:2019:W,23,0,,,,,,,,,,,,,,,,,,,,,,,23,0,,,N,N,N,,,,,,,
11/25/2019,CO:NA:NASE:2019:W,0,0,19,4,0,,,,,,,,,,,,,,,,,,,,0,0,UM,,Y,N,N,,,,,,,
12/02/2019,CO:NA:NASE:2019:H,33,4,,,,,,,,,,,,,,,,,,,,,,,33,4,,,N,N,N,,,,,,,
12/02/2019,CO:NA:NASE:2019:W,2,0,,,,,,,,,,,,,,,,,,,,,,,35,4,,,N,N,N,,,,,,,
12/03/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,7,1,0,14,11,4,,,,,,,,,,2,0,AD,,Y,N,N,,,,,,,
12/03/2019,CO:NA:NASE:2019:W,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,0,0,UM,,Y,N,N,,,,,,,
09/03/2020,CO:NA:NASE:2020:H,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,N,N,N,,,,,,,
09/03/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,0,1,AD,,Y,N,N,,,,,,,
09/04/2020,CO:NA:NASE:2020:H,0,1,,,,,,,,,,,,,,,,,,,,,,,0,2,,,N,N,N,,,,,,,
09/06/2020,CO:NA:NASE:2020:H,1,0,,,,,,,,,,,,,,,,,,,,,,,1,2,,,N,N,N,,,,,,,
09/08/2020,CO:NA:NASE:2020:H,1,0,,,,,,,,,,,,,,,,,,,,,,,2,2,,,N,N,N,,,,,,,
09/09/2020,CO:NA:NASE:2020:H,2,0,,,,,,,,,,,,,,,,,,,,,,,4,2,,,N,N,N,,,,,,,
